,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn Label,CLTV,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
28,1,0,0,1,3,1,1,0,0,0,0,0,0,1,74,229.55,1,4415,0,1,0,1,0,0,0,0,1,0
29,0,1,0,1,27,1,1,0,0,1,0,0,0,1,78,2135.5,1,4638,0,1,0,1,0,0,0,0,1,0
30,0,0,1,0,25,0,0,1,1,1,0,1,1,1,58,1502.65,1,4190,1,0,0,1,0,0,0,1,0,0
31,1,0,0,0,1,0,0,0,0,0,0,0,1,1,35,35.45,1,2301,1,0,0,1,0,0,0,0,1,0
32,1,0,0,0,2,1,0,0,0,0,0,0,0,0,44,81.25,1,2570,1,0,0,1,0,0,0,0,1,0
33,0,1,1,1,1,1,0,0,0,0,0,0,0,1,70,70.45,1,3964,0,1,0,1,0,0,0,0,0,1
34,0,0,0,0,8,1,1,1,0,0,1,0,1,0,71,563.65,1,2662,1,0,0,1,0,0,0,0,1,0
35,1,0,0,0,1,1,0,0,0,0,0,0,0,1,45,45.65,1,2600,1,0,0,1,0,0,0,0,1,0
36,1,0,0,1,7,1,1,0,0,0,0,1,1,0,95,655.5,1,2786,0,1,0,1,0,0,0,0,0,1
37,0,0,1,1,20,1,1,1,0,0,0,0,0,0,82,1592.35,1,5719,0,1,0,1,0,0,0,0,1,0
38,0,0,0,1,4,1,0,0,0,0,0,0,0,1,70,273.0,1,4287,0,1,0,1,0,0,1,0,0,0
39,1,1,1,0,58,0,0,0,1,1,0,0,1,1,45,2651.2,1,5444,1,0,0,1,0,0,0,0,1,0
40,0,0,1,1,2,1,1,0,0,1,1,1,1,1,104,242.8,1,4690,0,1,0,1,0,0,0,0,1,0
41,0,0,1,0,53,1,0,0,0,1,0,1,1,1,94,5000.2,1,4328,0,1,0,0,1,0,1,0,0,0
42,0,1,0,1,15,1,1,0,0,0,0,0,0,1,74,1145.7,1,5717,0,1,0,1,0,0,0,0,0,1
43,0,1,0,1,7,1,0,1,0,0,0,0,0,0,76,503.6,1,4419,0,1,0,1,0,0,1,0,0,0
44,0,0,0,0,1,0,0,0,1,0,0,0,0,0,29,29.95,1,4534,1,0,0,1,0,0,1,0,0,0
45,1,0,0,1,8,1,1,0,0,0,0,0,1,0,84,662.65,1,2152,0,1,0,1,0,0,1,0,0,0
46,0,0,0,1,13,1,0,0,1,1,0,0,0,1,79,1111.65,1,5142,0,1,0,1,0,0,0,0,1,0
47,0,0,1,0,1,0,0,0,0,0,0,0,0,1,24,24.8,1,4851,1,0,0,1,0,0,0,0,1,0
48,1,0,1,1,6,1,0,0,1,1,0,0,1,1,91,531.0,1,2283,0,1,0,1,0,0,0,0,1,0
49,1,0,0,1,1,1,0,0,0,0,0,0,1,0,79,79.9,1,3394,0,1,0,1,0,0,0,0,1,0
50,0,0,0,1,19,1,0,1,0,1,1,1,1,1,106,1934.45,1,3764,0,1,0,1,0,0,0,0,1,0
51,1,0,0,0,2,1,0,0,0,0,0,0,0,1,46,84.5,1,2667,1,0,0,1,0,0,0,1,0,0
52,0,0,0,1,4,1,0,0,0,0,0,0,0,1,70,268.35,1,2227,0,1,0,1,0,0,0,0,1,0
53,1,0,1,0,4,1,0,0,0,0,1,0,0,0,50,179.35,1,3394,1,0,0,1,0,0,0,0,0,1
54,0,0,1,0,1,1,0,0,0,0,0,1,0,0,55,55.2,1,3638,1,0,0,1,0,0,0,0,0,1
55,1,0,0,1,1,1,0,1,0,0,0,0,1,1,84,84.6,1,2484,0,1,0,1,0,0,0,0,0,1
56,1,0,0,0,2,1,1,0,1,0,0,0,0,1,54,114.1,1,2556,1,0,0,1,0,0,0,0,0,1
57,0,1,0,1,11,1,0,0,1,0,0,1,1,1,95,1120.3,1,5980,0,1,0,1,0,0,0,0,1,0
58,1,1,0,0,15,1,0,0,1,0,0,0,0,1,74,1074.3,1,4616,0,1,0,1,0,0,0,0,1,0
59,1,0,0,0,1,1,0,1,0,0,0,0,0,1,48,48.55,1,5687,1,0,0,1,0,0,0,0,0,1
60,0,0,1,0,2,1,0,0,0,0,0,0,0,0,70,147.15,1,5687,0,1,0,1,0,0,0,0,1,0
61,1,1,1,0,1,0,0,0,1,0,0,1,0,0,40,40.2,1,5828,1,0,0,1,0,0,0,0,1,0
62,0,0,1,0,2,1,0,0,0,0,0,0,0,1,44,80.55,1,4884,1,0,0,1,0,0,0,1,0,0
63,1,1,0,0,3,0,0,0,0,1,0,0,1,1,41,132.2,1,2314,1,0,0,1,0,0,0,0,1,0
64,1,1,0,0,13,1,1,0,1,1,0,1,1,1,106,1364.3,1,2494,0,1,0,1,0,0,0,0,1,0
65,1,0,0,0,59,1,0,0,0,0,0,0,0,0,19,1099.6,1,5084,0,0,1,0,0,1,0,0,0,1
66,0,1,0,0,16,1,0,0,0,0,1,1,1,1,94,1511.2,1,3810,0,1,0,1,0,0,0,0,1,0
67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,24,24.8,1,5087,1,0,0,1,0,0,1,0,0,0
68,1,0,0,0,1,1,0,0,0,0,0,0,0,0,70,70.6,1,3338,0,1,0,1,0,0,0,0,0,1
69,1,0,1,0,5,1,1,0,1,0,1,0,0,1,85,401.1,1,3676,0,1,0,1,0,0,0,0,1,0
70,0,0,1,0,52,1,1,0,1,1,0,1,1,1,105,5624.85,1,4839,0,1,0,1,0,0,0,0,1,0
71,1,0,1,0,18,1,0,0,0,1,0,1,1,0,95,1779.95,1,4643,0,1,0,1,0,0,0,0,0,1
72,1,0,1,0,1,1,0,0,0,0,0,0,0,0,70,70.0,1,4094,0,1,0,1,0,0,0,0,1,0
73,1,1,0,0,8,1,0,0,1,0,0,0,0,1,74,606.55,1,4345,0,1,0,1,0,0,0,0,1,0
74,1,0,0,0,10,1,0,0,0,0,0,0,0,1,44,435.4,1,4061,1,0,0,1,0,0,0,1,0,0
75,1,1,0,0,24,1,1,0,0,0,0,0,0,1,76,1712.7,1,2018,0,1,0,1,0,0,0,0,1,0
76,0,0,0,0,1,1,0,1,0,0,0,0,0,1,73,73.6,1,2565,0,1,0,1,0,0,0,0,0,1
77,0,1,0,0,4,1,1,0,0,0,0,1,1,1,95,396.1,1,3677,0,1,0,1,0,0,0,0,1,0
78,1,1,1,0,32,1,1,0,0,0,0,0,0,1,74,2303.35,1,4105,0,1,0,1,0,0,0,0,1,0
79,1,0,0,0,5,1,0,0,0,0,0,1,0,1,80,415.55,1,5715,0,1,0,1,0,0,0,0,1,0
80,0,0,1,0,38,1,0,1,1,0,1,1,1,0,80,3058.65,1,2071,1,0,0,0,1,0,0,1,0,0
81,1,1,1,0,24,1,0,0,0,1,0,1,1,1,93,2231.05,1,2212,0,1,0,1,0,0,0,0,1,0
82,0,1,0,0,54,1,1,1,1,0,1,1,1,0,82,4350.1,1,4149,1,0,0,0,1,0,1,0,0,0
83,0,1,0,0,2,1,0,0,0,0,0,0,0,1,70,139.05,1,2671,0,1,0,1,0,0,0,0,1,0
84,0,0,0,0,7,1,1,0,0,0,0,0,0,1,73,511.25,1,2473,0,1,0,1,0,0,0,0,1,0
85,0,0,0,0,2,1,1,0,0,1,0,0,0,0,80,155.8,1,2683,0,1,0,1,0,0,0,0,0,1
86,1,0,1,0,68,1,1,0,1,1,1,0,1,1,75,5293.95,1,4903,1,0,0,0,1,0,1,0,0,0
87,0,0,0,0,43,1,1,0,1,1,0,1,1,1,104,4759.85,1,5250,0,1,0,0,0,1,0,0,1,0
88,1,0,1,0,63,1,1,0,1,1,0,1,1,1,103,6603.0,1,4352,0,1,0,1,0,0,0,0,1,0
89,0,0,0,0,2,1,0,0,0,0,0,1,1,1,90,168.2,1,4157,0,1,0,1,0,0,0,0,1,0
90,1,0,1,0,4,1,1,0,1,1,0,0,0,1,84,371.9,1,4939,0,1,0,1,0,0,1,0,0,0
91,0,1,0,0,21,0,0,1,0,0,0,1,0,1,41,840.1,1,4778,1,0,0,1,0,0,0,0,1,0
92,0,0,0,0,10,1,0,0,0,0,0,0,1,1,80,846.0,1,3598,0,1,0,1,0,0,1,0,0,0
93,1,1,1,0,27,0,0,1,0,0,0,0,0,0,30,805.1,1,2927,1,0,0,1,0,0,0,1,0,0
94,1,0,0,0,5,1,0,0,0,1,0,1,1,0,96,492.55,1,5383,0,1,0,1,0,0,1,0,0,0
95,1,0,0,0,2,1,1,0,0,0,0,1,0,1,85,181.5,1,3878,0,1,0,1,0,0,0,0,1,0
96,0,0,1,0,25,1,1,0,0,1,1,1,1,1,104,2566.5,1,3642,0,1,0,1,0,0,1,0,0,0
97,1,0,0,0,1,1,0,0,1,0,0,0,0,0,50,50.65,1,2431,1,0,0,1,0,0,0,0,0,1
98,1,0,0,0,1,1,1,0,1,0,0,0,1,1,90,90.85,1,3424,0,1,0,1,0,0,0,1,0,0
99,1,1,1,0,11,1,0,0,0,0,0,0,0,0,19,214.75,1,5888,0,0,1,1,0,0,0,0,0,1
100,0,1,1,0,55,1,1,0,1,1,0,0,0,1,85,4874.7,1,5502,0,1,0,1,0,0,0,0,1,0
101,0,0,0,0,34,1,0,0,1,0,0,0,0,1,73,2524.45,1,5795,0,1,0,1,0,0,0,1,0,0
102,1,0,1,0,69,1,1,0,0,1,0,1,1,1,99,7007.6,1,4020,0,1,0,1,0,0,0,1,0,0
103,0,0,0,0,1,1,0,0,0,0,0,0,0,1,19,19.9,1,3351,0,0,1,1,0,0,0,0,0,1
104,1,0,0,0,1,1,0,0,0,0,0,0,0,1,19,19.6,1,3448,0,0,1,1,0,0,0,0,0,1
105,1,1,0,0,3,1,1,0,1,0,0,0,0,1,81,233.7,1,2818,0,1,0,1,0,0,0,0,1,0
106,0,0,1,0,22,1,0,0,1,0,0,0,1,0,83,1845.9,1,3804,0,1,0,1,0,0,0,0,1,0
107,0,1,0,0,1,1,0,0,0,1,0,0,0,1,75,75.3,1,4902,0,1,0,1,0,0,1,0,0,0
108,0,0,1,0,61,1,0,0,0,0,0,0,0,1,19,1182.55,1,4221,0,0,1,1,0,0,0,0,0,1
109,1,0,0,0,12,1,0,0,0,0,0,0,0,1,45,518.9,1,2887,1,0,0,1,0,0,1,0,0,0
110,0,0,0,0,60,1,1,0,1,1,0,1,1,1,105,6396.45,1,4105,0,1,0,1,0,0,0,0,1,0
111,0,0,0,0,1,1,0,0,0,0,0,0,0,0,69,69.55,1,2792,0,1,0,1,0,0,0,0,0,1
112,0,0,1,0,28,1,0,0,0,0,0,0,1,1,81,2227.1,1,5201,0,1,0,1,0,0,0,0,1,0
113,1,0,1,0,4,1,1,0,0,1,0,1,1,0,101,385.9,1,4417,0,1,0,1,0,0,0,0,1,0
114,1,0,0,0,7,1,1,0,1,0,0,1,1,1,99,673.25,1,2031,0,1,0,1,0,0,0,0,1,0
115,0,0,1,0,13,1,0,0,0,0,0,0,1,0,55,734.35,1,4498,1,0,0,1,0,0,0,0,1,0
116,1,0,0,0,1,1,0,0,0,0,0,0,1,1,55,55.0,1,4877,1,0,0,1,0,0,0,0,1,0
117,0,0,1,0,1,1,0,0,1,0,0,0,0,1,74,74.7,1,5980,0,1,0,1,0,0,0,0,1,0
118,1,0,0,0,24,1,1,0,1,0,0,0,0,1,80,1861.5,1,4418,0,1,0,1,0,0,0,0,1,0
119,1,0,0,0,5,1,0,0,0,0,1,1,1,1,96,453.4,1,4192,0,1,0,1,0,0,0,0,1,0
120,0,0,0,0,15,1,0,0,0,0,0,0,0,0,69,994.8,1,5671,0,1,0,1,0,0,1,0,0,0
121,0,0,1,0,48,0,0,1,0,1,0,0,1,1,45,2145.0,1,4926,1,0,0,1,0,0,1,0,0,0
122,0,0,1,0,8,1,0,0,1,0,0,1,0,1,83,680.05,1,2879,0,1,0,1,0,0,0,0,1,0
123,1,0,0,0,1,1,1,0,0,0,0,0,0,1,74,74.35,1,2814,0,1,0,1,0,0,0,0,1,0
124,0,0,1,0,2,1,0,1,0,0,0,0,0,1,74,139.4,1,4263,0,1,0,1,0,0,0,0,1,0
125,1,0,0,0,22,0,0,0,1,1,0,0,1,1,43,903.6,1,3099,1,0,0,0,1,0,1,0,0,0
126,0,1,0,0,5,0,0,0,1,0,0,0,0,0,28,131.05,1,4099,1,0,0,1,0,0,0,0,1,0
127,0,0,0,0,12,1,1,1,1,1,0,0,1,1,99,1238.45,1,2538,0,1,0,1,0,0,1,0,0,0
128,0,1,0,0,20,1,1,0,1,1,0,0,1,1,94,1782.4,1,2666,0,1,0,1,0,0,0,0,1,0
129,1,0,1,0,2,1,0,0,0,0,1,1,1,1,94,167.5,1,3715,0,1,0,1,0,0,0,0,1,0
130,0,0,1,0,6,1,1,0,0,0,1,0,0,1,80,502.85,1,5032,0,1,0,1,0,0,0,0,1,0
131,0,1,1,0,5,1,1,0,0,0,0,0,0,1,74,334.8,1,5273,0,1,0,1,0,0,0,0,1,0
132,1,0,0,0,40,1,1,0,0,1,1,1,1,0,104,4131.95,1,3492,0,1,0,1,0,0,1,0,0,0
133,0,1,1,0,27,1,0,1,0,0,0,0,0,1,75,1929.35,1,4517,0,1,0,1,0,0,1,0,0,0
134,0,0,0,0,23,1,1,0,0,0,0,0,0,0,75,1758.6,1,2115,0,1,0,1,0,0,1,0,0,0
135,1,0,1,0,34,1,1,0,0,1,0,1,1,1,100,3480.0,1,2568,0,1,0,1,0,0,0,0,1,0
136,0,0,0,0,1,1,1,0,0,0,0,0,1,1,85,85.0,1,5679,0,1,0,1,0,0,0,0,1,0
137,1,0,0,0,10,1,1,0,0,0,0,1,0,1,86,834.1,1,2966,0,1,0,1,0,0,1,0,0,0
138,1,0,0,0,13,0,0,1,0,0,1,1,0,1,45,597.0,1,4856,1,0,0,1,0,0,0,1,0,0
139,1,0,1,0,39,1,0,0,1,0,0,1,0,1,86,3266.0,1,3364,0,1,0,1,0,0,0,0,0,1
140,1,0,0,0,32,1,1,0,1,0,0,0,0,1,80,2596.15,1,5974,0,1,0,1,0,0,1,0,0,0
141,0,0,0,0,35,1,1,0,0,1,0,1,1,1,100,3527.6,1,2744,0,1,0,1,0,0,0,0,1,0
142,1,0,1,0,56,1,1,0,1,0,0,1,1,0,100,5614.45,1,5170,0,1,0,0,1,0,0,1,0,0
143,0,0,1,0,12,1,0,0,0,0,0,0,0,0,19,233.55,1,3535,0,0,1,1,0,0,0,0,0,1
144,0,0,0,0,1,1,0,1,0,0,0,0,0,0,75,75.3,1,3244,0,1,0,1,0,0,0,0,0,1
145,0,1,0,0,4,1,1,0,0,1,0,1,0,1,89,346.2,1,5808,0,1,0,1,0,0,0,0,1,0
146,0,1,0,0,1,1,1,0,0,0,0,1,0,1,85,85.7,1,4880,0,1,0,1,0,0,0,0,1,0
147,0,0,0,0,12,1,1,1,0,1,1,0,0,1,61,713.75,1,5670,1,0,0,1,0,0,0,0,0,1
148,0,1,1,0,65,1,1,1,0,1,0,1,1,0,105,6786.4,1,4196,0,1,0,1,0,0,1,0,0,0
149,1,0,1,0,9,0,0,0,1,0,0,0,0,1,29,248.95,1,2573,1,0,0,1,0,0,0,0,1,0
150,0,0,1,0,9,1,0,1,1,1,1,0,0,0,65,663.05,1,3983,1,0,0,1,0,0,0,0,0,1
151,0,0,0,0,7,1,0,0,0,0,0,0,0,0,20,137.6,1,4479,0,0,1,1,0,0,1,0,0,0
152,1,1,1,0,49,1,1,0,1,0,0,0,1,0,90,4547.25,1,5059,0,1,0,1,0,0,0,1,0,0
153,1,1,1,0,43,1,1,0,1,1,1,1,1,1,110,4687.9,1,2728,0,1,0,1,0,0,1,0,0,0
154,0,0,1,0,65,1,1,0,1,1,0,1,1,1,105,6985.65,1,5720,0,1,0,1,0,0,0,0,1,0
155,1,1,1,0,56,1,1,1,0,1,0,1,1,1,104,5794.65,1,6268,0,1,0,0,1,0,1,0,0,0
156,1,0,1,0,10,1,1,0,0,0,0,0,1,1,85,855.3,1,3573,0,1,0,1,0,0,0,0,1,0
157,0,0,1,0,43,1,0,0,0,0,0,1,0,0,56,2499.3,1,2152,1,0,0,1,0,0,0,0,1,0
158,1,0,0,0,1,1,0,0,0,0,0,1,1,1,89,89.55,1,4996,0,1,0,1,0,0,0,0,1,0
159,1,1,1,0,20,1,1,0,0,0,0,1,1,1,94,1899.65,1,5604,0,1,0,1,0,0,0,0,1,0
160,1,0,0,0,1,1,0,0,0,0,0,0,0,1,45,45.7,1,2295,1,0,0,1,0,0,0,0,0,1
161,0,1,0,0,2,1,1,0,1,0,0,0,1,0,89,161.5,1,2065,0,1,0,1,0,0,0,0,1,0
162,0,0,0,0,3,1,0,0,0,0,0,0,0,1,69,222.3,1,2876,0,1,0,1,0,0,1,0,0,0
163,0,0,0,0,1,1,0,0,0,1,0,0,0,1,74,74.6,1,3860,0,1,0,1,0,0,0,0,0,1
164,0,1,0,0,8,1,0,0,0,0,0,0,0,0,19,164.3,1,5432,0,0,1,1,0,0,0,0,1,0
165,1,0,1,0,2,1,0,0,0,0,0,0,0,0,19,35.9,1,2362,0,0,1,0,1,0,0,0,0,1
166,0,0,0,0,4,0,0,0,0,0,0,0,0,1,24,96.05,1,2038,1,0,0,1,0,0,0,0,0,1
167,0,0,0,0,2,1,0,0,0,0,0,0,0,0,69,145.15,1,2323,0,1,0,1,0,0,0,0,1,0
168,0,0,0,0,4,1,0,0,0,0,0,0,0,0,45,191.05,1,2864,1,0,0,1,0,0,0,0,0,1
169,0,0,0,0,1,1,1,0,0,0,0,0,0,1,75,75.05,1,4838,0,1,0,1,0,0,0,0,0,1
170,1,1,0,0,52,0,0,0,1,0,0,1,1,1,49,2550.9,1,5597,1,0,0,1,0,0,0,0,1,0
171,0,0,0,0,2,0,0,0,0,0,0,0,1,1,34,62.25,1,3146,1,0,0,1,0,0,0,0,1,0
172,1,0,1,0,1,1,0,0,0,0,0,0,1,0,80,80.0,1,2046,0,1,0,1,0,0,0,0,1,0
173,1,1,0,0,2,1,0,1,0,0,0,0,0,1,49,91.1,1,3475,1,0,0,1,0,0,0,0,1,0
174,0,0,0,0,3,1,1,0,0,0,0,0,0,1,75,270.7,1,4965,0,1,0,1,0,0,0,1,0,0
175,1,0,1,0,3,1,0,0,0,1,0,0,0,1,50,168.15,1,3273,1,0,0,1,0,0,0,0,1,0
176,0,0,0,0,25,1,0,1,1,0,0,0,0,1,79,2015.35,1,4535,0,1,0,1,0,0,1,0,0,0
177,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19,19.55,1,3556,0,0,1,1,0,0,0,0,0,1
178,0,0,1,0,4,1,1,0,0,0,0,0,1,1,85,381.3,1,5640,0,1,0,1,0,0,0,0,1,0
179,1,0,0,0,3,1,0,0,0,0,0,0,0,1,45,141.5,1,2450,1,0,0,1,0,0,0,0,1,0
180,1,1,1,0,33,1,1,0,0,0,0,1,1,1,94,3105.55,1,4333,0,1,0,1,0,0,0,0,1,0
181,0,1,0,0,30,1,1,1,1,1,0,0,0,0,91,2758.15,1,2482,0,1,0,1,0,0,0,1,0,0
182,0,0,0,0,45,1,1,0,0,1,1,0,0,1,87,3941.7,1,5269,0,1,0,1,0,0,0,0,1,0
183,1,0,0,0,10,1,1,1,0,0,0,1,1,0,98,1008.55,1,3658,0,1,0,1,0,0,0,0,1,0
184,1,1,0,0,20,1,1,0,0,1,0,1,1,1,98,1842.8,1,5444,0,1,0,1,0,0,0,0,1,0
185,0,0,0,0,15,1,0,0,1,0,0,0,1,1,85,1269.55,1,3579,0,1,0,1,0,0,1,0,0,0
186,0,0,0,0,22,1,0,0,0,0,0,1,1,0,89,1907.85,1,3161,0,1,0,1,0,0,0,0,1,0
187,1,0,1,0,3,1,0,0,0,0,0,0,0,1,70,208.85,1,3038,0,1,0,1,0,0,0,0,1,0
188,1,0,0,0,15,1,1,0,0,0,0,1,1,1,93,1444.65,1,5264,0,1,0,1,0,0,0,0,1,0
189,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19,19.9,1,4248,0,0,1,1,0,0,0,0,0,1
190,0,0,1,0,5,1,0,1,0,1,0,0,1,1,88,454.15,1,4356,0,1,0,1,0,0,0,0,0,1
191,1,0,1,0,33,1,0,0,0,1,0,1,1,1,95,3036.75,1,4161,0,1,0,0,1,0,0,0,1,0
192,1,0,0,0,2,1,1,0,1,0,0,0,0,1,82,184.65,1,3051,0,1,0,1,0,0,0,0,1,0
193,1,0,0,0,2,1,0,0,0,0,0,0,0,0,45,89.5,1,3478,1,0,0,1,0,0,0,0,1,0
194,0,0,0,0,1,1,0,0,0,0,1,0,0,1,52,52.2,1,4138,1,0,0,1,0,0,0,0,1,0
195,0,1,0,0,46,1,1,1,1,1,0,1,1,1,110,4874.8,1,2403,0,1,0,0,1,0,0,0,1,0
196,1,0,0,0,62,1,1,0,0,1,0,1,1,1,96,6125.4,1,5016,0,1,0,0,1,0,0,0,1,0
197,0,0,0,0,10,1,1,0,0,0,1,1,1,1,98,1058.25,1,5184,0,1,0,1,0,0,0,0,1,0
198,1,0,0,0,6,1,0,0,1,0,0,1,0,1,85,489.45,1,4694,0,1,0,1,0,0,0,0,1,0
199,1,0,1,0,40,1,1,0,1,0,0,1,1,1,101,4113.1,1,2576,0,1,0,1,0,0,0,0,1,0
200,1,0,0,0,1,1,0,0,0,0,0,0,0,1,69,69.55,1,3042,0,1,0,1,0,0,0,0,1,0
201,1,0,0,0,58,1,1,0,1,1,0,1,1,1,103,6017.65,1,6105,0,1,0,0,1,0,1,0,0,0
202,1,0,0,0,70,1,1,1,0,0,1,1,1,1,104,7250.15,1,4544,0,1,0,0,0,1,0,1,0,0
203,0,0,0,0,2,1,0,0,0,1,0,0,1,1,86,178.7,1,2969,0,1,0,1,0,0,0,0,0,1
204,1,0,1,0,21,1,1,0,1,1,1,1,1,1,111,2317.1,1,4123,0,1,0,1,0,0,0,0,1,0
205,0,0,1,0,16,1,0,0,1,1,0,1,0,1,89,1430.25,1,3696,0,1,0,1,0,0,0,1,0,0
206,1,1,1,0,7,1,1,0,0,0,0,1,1,1,95,644.35,1,3265,0,1,0,1,0,0,1,0,0,0
207,1,0,1,0,60,1,0,0,1,1,0,1,0,0,90,5453.4,1,4111,0,1,0,0,1,0,0,0,1,0
208,0,0,1,0,50,1,1,1,1,0,1,1,1,0,108,5610.7,1,4274,0,1,0,0,1,0,0,0,1,0
209,0,1,0,0,4,1,0,0,0,0,0,1,0,1,78,292.8,1,5301,0,1,0,1,0,0,0,0,1,0
210,1,0,0,0,1,1,0,0,0,0,0,0,0,0,44,44.4,1,3522,1,0,0,1,0,0,0,0,0,1
211,0,1,0,0,55,1,1,0,0,1,0,1,1,1,100,5509.3,1,5679,0,1,0,0,1,0,0,0,1,0
212,0,0,1,0,12,1,0,0,0,0,0,0,0,0,19,229.6,1,2653,0,0,1,0,1,0,1,0,0,0
213,1,0,0,0,1,1,0,0,0,0,0,1,1,1,89,89.9,1,5951,0,1,0,1,0,0,0,0,1,0
214,0,0,0,0,62,1,1,0,0,1,0,1,1,1,100,6413.65,1,5600,0,1,0,0,1,0,0,0,1,0
215,1,0,0,0,1,1,0,0,1,0,0,0,0,0,50,50.8,1,3718,1,0,0,1,0,0,0,0,1,0
216,1,1,1,0,20,1,0,0,1,0,0,0,0,1,73,1463.5,1,5849,0,1,0,1,0,0,0,0,1,0
217,0,0,0,0,3,1,0,0,1,0,0,1,1,1,95,307.4,1,5861,0,1,0,1,0,0,0,0,1,0
218,1,0,0,0,22,1,1,0,0,0,0,1,1,1,94,2104.55,1,3665,0,1,0,1,0,0,0,1,0,0
219,1,0,1,0,4,1,0,0,0,1,1,0,0,1,80,319.15,1,3080,0,1,0,1,0,0,0,0,0,1
